"愛","あい","love, affection, care; attachment, craving, desire; agape; Ireland"
"挨拶","あいさつ","greeting, greetings, salutation, salute, polite set phrase used when meeting or parting from someone; speech (congratulatory or appreciative), address; reply, response; courtesy visit (to offer condolences, say congratulations, pay respect, introduce oneself, etc.); revenge, retaliation; a fine thing to say; dialoging (with another Zen practitioner to ascertain their level of enlightenment); relationship (between people), connection; intervention, mediation, mediator"
"愛情","あいじょう","love, affection"
"","アイスクリーム","ice cream, icecream"
"愛する","あいする","to love"
"合図","あいず","sign, signal, cue"
"相手","あいて","companion, partner, company; other party, addressee, counterparty; opponent (sports, etc.)"
"生憎","あいにく","unfortunately, sorry, but ..."
"","アイロン","iron (for pressing clothes); hair iron, hair tong, curling tong"
"ＯＵＴ","アウト","out (of a ball; in tennis, etc.), outside the line; out, putout; outer, external, outside; exit, exit here; front nine; no good, unacceptable, out of line, over, finished, disqualified; check-out time"
"明かり","あかり","light, glow, gleam; (a) light, lights, lamp; proof (of innocence)"
"空き","あき","space, room, gap, emptiness; vacancy, opening, empty seat; free time, time to spare; disuse, unused thing"
"明らか","あきらか","clear, obvious, evident, plain, definite; bright, light"
"飽きる","あきる","to get tired of, to tire of, to lose interest in, to grow weary of, to get fed up with, to get sick of, to become bored with; to become sated, to become satiated, to have one's fill"
"諦める","あきらめる","to give up, to abandon (hope, plans), to resign oneself (to)"
"握手","あくしゅ","handshake; reconciliation, joining hands, cooperation"
"悪魔","あくま","devil, demon, fiend; Satan, the Devil; Māra, evil spirits or forces that hinder one's path to enlightenment"
"開ける","あける","to open (a door, etc.), to unwrap (e.g. parcel, package), to unlock; to open (for business, etc.); to empty, to remove, to make space, to make room; to move out, to clear out; to be away from (e.g. one's house), to leave (temporarily); to dawn, to grow light; to end (of a period, season); to begin (of the New Year); to leave (one's schedule) open, to make time (for); to make (a hole), to open up (a hole)"
"明後日","あさって, みょうごにち","day after tomorrow; wrong (e.g. direction)"
"明日","あした, あす, みょうにち","tomorrow; near future"
"預ける","あずける","to leave (in someone's keeping), to put (in someone's care), to place (in someone's custody), to entrust (someone) with, to deposit; to put (someone) in charge of, to leave (a matter) in someone's hands, to let (someone) decide; to lean on, to put one's weight on"
"汗","あせ","sweat, perspiration; moisture, condensation; gulp, oops"
"与える","あたえる","to give (esp. to someone of lower status), to bestow, to grant, to confer, to present, to award; to provide, to afford, to offer, to supply; to assign; to cause; to pass (a variable to a function)"
"暖かい","あたたかい, あったかい, あったけー","warm, mild, (pleasantly) hot; considerate, kind, genial; warm (of a colour), mellow; having enough money"
"辺り","あたり","(in the) neighbourhood, neighborhood, vicinity, nearby, surroundings; around, about, or thereabouts; for instance, say, such as"
"当たる","あたる","to be hit, to strike; to touch, to be in contact, to be affixed; to be equivalent to, to be applicable, to apply to; to be right on the money (of a prediction, criticism, etc.); to be selected (in a lottery, etc.), to win; to be successful, to go well, to be a hit; to face, to confront; to lie (in the direction of); to undertake, to be assigned; to be stricken (by food poisoning, heat, etc.), to be afflicted; to be called on (e.g. by a teacher); to treat (esp. harshly), to lash out at; to be unnecessary; to be hitting well, to be on a hitting streak; to feel a bite (in fishing); (of fruit, etc.) to be bruised, to spoil; to feel (something) out, to probe into, to check (i.e. by comparison); to shave; to be a relative of a person, to be a ... in relation to ..., to stand in a relationship"
"彼方此方","あちこち, あちらこちら, あっちこっち, アチコチ","here and there, various places, all around, all over, everywhere, throughout; muddled, confused, in the wrong order, back to front"
"","あっ, アッ, アっ, あ, ア","ah, oh; hey!"
"扱う","あつかう","to deal with (a person), to treat, to handle, to take care of, to entertain; to deal with (a problem), to handle, to manage; to operate (e.g. a machine), to handle, to work; to deal in, to sell; to cover (a topic), to treat, to discuss, to take up; to treat A as B; to mediate (an argument); to be too much for one, to find unmanageable; to gossip"
"集まり","あつまり","gathering, meeting, assembly, collection, attendance"
"当てる","あてる","to hit; to expose; to apply (e.g. patch), to put on, to put against, to hold on, to hold against; to allot, to call on someone (e.g. in class); to guess (an answer); to make a hit (e.g. in a lottery)"
"跡","あと","trace, tracks, mark, sign; site, remains, ruins; scar"
